,Dataset,MCC
0,Cardiotoxicity_Cardiotoxicity-1_DBtargets.csv,0.23570226039551584
1,Endocrine Disruption_SR-ARE_DBtargets.csv,0.17502302401383005
2,Cardiotoxicity_Cardiotoxicity-5_DBtargets.csv,0.26629315143831916
3,Endocrine Disruption_SR-MMP_DBtargets.csv,0.3328770246548891
4,Endocrine Disruption_NR-ER-LBD_DBtargets.csv,0.1649572197684645
5,Carcinogenicity_Carcinogenicity_DBtargets.csv,0.030429030972509225
6,Endocrine Disruption_SR-HSE_DBtargets.csv,0.18093671611393647
7,Hepatotoxicity_Hepatotoxicity_DBtargets.csv,0.19169227962856555
8,Endocrine Disruption_SR-ATAD5_DBtargets.csv,0.0
9,Endocrine Disruption_NR-AR_DBtargets.csv,0.47114400558710495
10,Endocrine Disruption_NR-aromatase_DBtargets.csv,0.33210558207753577
11,Mutagenicity_Ames Mutagenicity_DBtargets.csv,0.14028563548635165
12,Endocrine Disruption_NR-AhR_DBtargets.csv,0.30590258071629417
13,Cardiotoxicity_Cardiotoxicity-30_DBtargets.csv,0.11547005383792515
14,Endocrine Disruption_SR-p53_DBtargets.csv,0.4199942951621736
15,Endocrine Disruption_NR-ER_DBtargets.csv,0.08865749924595245
16,Cardiotoxicity_Cardiotoxicity-10_DBtargets.csv,0.14117731575135795
17,Endocrine Disruption_NR-AR-LBD_DBtargets.csv,0.8387132838343627
18,Endocrine Disruption_NR-PPAR-gamma_DBtargets.csv,0.0
