,Dataset,MCC
0,Cardiotoxicity_Cardiotoxicity-1_DBtargets.csv,0.06804138174397717
1,Endocrine Disruption_SR-ARE_DBtargets.csv,0.379326505704391
2,Cardiotoxicity_Cardiotoxicity-5_DBtargets.csv,0.26629315143831916
3,Endocrine Disruption_SR-MMP_DBtargets.csv,0.40624289357357424
4,Endocrine Disruption_NR-ER-LBD_DBtargets.csv,0.0
5,Carcinogenicity_Carcinogenicity_DBtargets.csv,0.0
6,Endocrine Disruption_SR-HSE_DBtargets.csv,0.0
7,Hepatotoxicity_Hepatotoxicity_DBtargets.csv,0.24682228903297104
8,Endocrine Disruption_SR-ATAD5_DBtargets.csv,0.0
9,Endocrine Disruption_NR-AR_DBtargets.csv,0.6028621471047195
10,Endocrine Disruption_NR-aromatase_DBtargets.csv,0.04303314829119352
11,Mutagenicity_Ames Mutagenicity_DBtargets.csv,0.27840508876711006
12,Endocrine Disruption_NR-AhR_DBtargets.csv,0.32317980624688697
13,Cardiotoxicity_Cardiotoxicity-30_DBtargets.csv,0.23841582427170788
14,Endocrine Disruption_SR-p53_DBtargets.csv,0.3705695269925798
15,Endocrine Disruption_NR-ER_DBtargets.csv,0.21329784708533836
16,Cardiotoxicity_Cardiotoxicity-10_DBtargets.csv,0.15141119678398096
17,Endocrine Disruption_NR-AR-LBD_DBtargets.csv,0.7278233925591444
18,Endocrine Disruption_NR-PPAR-gamma_DBtargets.csv,0.0
