Dataset,SVM,RF,KNN,NN
Ames Mutagenicity,0.0,0.27840508876711,0.1402856354863516,0.0
Carcinogenicity,0.0,0.0,0.0304290309725092,0.016037507477489603
Cardiotoxicity-1,0.0,0.0680413817439771,0.2357022603955158,0.47075654176200415
Cardiotoxicity-10,0.3735346445398423,0.1514111967839809,0.1411773157513579,0.24006495872533354
Cardiotoxicity-30,0.2277100170213244,0.2384158242717078,0.1154700538379251,0.3927922024247863
Cardiotoxicity-5,0.201455741006345,0.2662931514383191,0.2662931514383191,0.09614414947874673
Developmental_Toxicity,0.0,0.0,0.0,0.0
Hepatotoxicity,0.2309836260760042,0.246822289032971,0.1916922796285655,0.16031913292187264
NR-AR,0.5294143019465851,0.6028621471047195,0.4711440055871049,0.5301448025829223
NR-AR-LBD,0.4158619680502032,0.7278233925591444,0.8387132838343627,0.7888596970330195
NR-AhR,0.2415882840493284,0.3231798062468869,0.3059025807162941,0.3814882103344266
NR-ER,0.2639495376721345,0.2132978470853383,0.0886574992459524,0.2020970962315822
NR-ER-LBD,0.0,0.0,0.1649572197684645,0.30903502310036884
NR-PPAR-gamma,0.0,0.0,0.0,0.17407765595569785
NR-aromatase,0.1234426799696735,0.0430331482911935,0.3321055820775357,0.0
Reproductive_Toxicity,0.0,0.0,0.0,0.0
Respiratory_Toxicity,0.0,0.0,0.0,0.0
SR-ARE,0.1916923523373483,0.379326505704391,0.17502302401383,0.36815187809805633
SR-ATAD5,0.0,0.0,0.0,0.2412090756622109
SR-HSE,0.0,0.0,0.1809367161139364,0.25617376914899
SR-MMP,0.2960684541064695,0.4062428935735742,0.3328770246548891,0.37741470621203443
SR-p53,0.0,0.3705695269925798,0.4199942951621736,0.378565498830142
